 Total Nb of available Diagnostics: ndiagt=   727
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   263 |AB_gTr06| 23 |       |SMR     MR|mmolFe/s        |FeT tendency from Adams-Bashforth
   264 |Tp_gTr06| 23 |       |SMR     MR|mmolFe/s        |FeT total transport tendency (before gchem_forcing_sep)
   265 |ADVrTr06| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical   Advective Flux of FeT
   266 |ADVxTr06| 23 |   267 |UU      MR|mmolFe.m^3/s    |Zonal      Advective Flux of FeT
   267 |ADVyTr06| 23 |   266 |VV      MR|mmolFe.m^3/s    |Meridional Advective Flux of FeT
   268 |DFrETr06| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of FeT (Explicit part)
   269 |DFxETr06| 23 |   270 |UU      MR|mmolFe.m^3/s    |Zonal      Diffusive Flux of FeT
   270 |DFyETr06| 23 |   269 |VV      MR|mmolFe.m^3/s    |Meridional Diffusive Flux of FeT
   271 |DFrITr06| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of FeT (Implicit part)
   272 |KPPgTr06| 23 |       |WM      LR|mmolFe.m^3/s    |KPP non-local Flux of FeT
   273 |TRAC07  | 23 |       |SMR     MR|mmol Si         |SiO2 concentration
   274 |UTRAC07 | 23 |   275 |UUr     MR|mmolSi.m/s      |Zonal Mass-Weighted Transp of SiO2
   275 |VTRAC07 | 23 |   274 |VVr     MR|mmolSi.m/s      |Merid Mass-Weighted Transp of SiO2
   276 |WTRAC07 | 23 |       |WM      MR|mmolSi.m/s      |Vert  Mass-Weighted Transp of SiO2
   277 |ForcTr07| 23 |       |SMR     MR|mmolSi/s        |SiO2 forcing tendency
   278 |AB_gTr07| 23 |       |SMR     MR|mmolSi/s        |SiO2 tendency from Adams-Bashforth
   279 |Tp_gTr07| 23 |       |SMR     MR|mmolSi/s        |SiO2 total transport tendency (before gchem_forcing_sep)
   280 |ADVrTr07| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical   Advective Flux of SiO2
   281 |ADVxTr07| 23 |   282 |UU      MR|mmolSi.m^3/s    |Zonal      Advective Flux of SiO2
   282 |ADVyTr07| 23 |   281 |VV      MR|mmolSi.m^3/s    |Meridional Advective Flux of SiO2
   283 |DFrETr07| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical Diffusive Flux of SiO2 (Explicit part)
   284 |DFxETr07| 23 |   285 |UU      MR|mmolSi.m^3/s    |Zonal      Diffusive Flux of SiO2
   285 |DFyETr07| 23 |   284 |VV      MR|mmolSi.m^3/s    |Meridional Diffusive Flux of SiO2
   286 |DFrITr07| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical Diffusive Flux of SiO2 (Implicit part)
   287 |KPPgTr07| 23 |       |WM      LR|mmolSi.m^3/s    |KPP non-local Flux of SiO2
   288 |TRAC08  | 23 |       |SMR     MR|mmol C/         |DOC concentration
   289 |UTRAC08 | 23 |   290 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of DOC
   290 |VTRAC08 | 23 |   289 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of DOC
   291 |WTRAC08 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of DOC
   292 |ForcTr08| 23 |       |SMR     MR|mmolC//s        |DOC forcing tendency
   293 |AB_gTr08| 23 |       |SMR     MR|mmolC//s        |DOC tendency from Adams-Bashforth
   294 |Tp_gTr08| 23 |       |SMR     MR|mmolC//s        |DOC total transport tendency (before gchem_forcing_sep)
   295 |ADVrTr08| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of DOC
   296 |ADVxTr08| 23 |   297 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of DOC
   297 |ADVyTr08| 23 |   296 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of DOC
   298 |DFrETr08| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DOC (Explicit part)
   299 |DFxETr08| 23 |   300 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of DOC
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |DFyETr08| 23 |   299 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of DOC
   301 |DFrITr08| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DOC (Implicit part)
   302 |KPPgTr08| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of DOC
   303 |TRAC09  | 23 |       |SMR     MR|mmol N/         |DON concentration
   304 |UTRAC09 | 23 |   305 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of DON
   305 |VTRAC09 | 23 |   304 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of DON
   306 |WTRAC09 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of DON
   307 |ForcTr09| 23 |       |SMR     MR|mmolN//s        |DON forcing tendency
   308 |AB_gTr09| 23 |       |SMR     MR|mmolN//s        |DON tendency from Adams-Bashforth
   309 |Tp_gTr09| 23 |       |SMR     MR|mmolN//s        |DON total transport tendency (before gchem_forcing_sep)
   310 |ADVrTr09| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of DON
   311 |ADVxTr09| 23 |   312 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of DON
   312 |ADVyTr09| 23 |   311 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of DON
   313 |DFrETr09| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of DON (Explicit part)
   314 |DFxETr09| 23 |   315 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of DON
   315 |DFyETr09| 23 |   314 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of DON
   316 |DFrITr09| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of DON (Implicit part)
   317 |KPPgTr09| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of DON
   318 |TRAC10  | 23 |       |SMR     MR|mmol P/         |DOP concentration
   319 |UTRAC10 | 23 |   320 |UUr     MR|mmolP/.m/s      |Zonal Mass-Weighted Transp of DOP
   320 |VTRAC10 | 23 |   319 |VVr     MR|mmolP/.m/s      |Merid Mass-Weighted Transp of DOP
   321 |WTRAC10 | 23 |       |WM      MR|mmolP/.m/s      |Vert  Mass-Weighted Transp of DOP
   322 |ForcTr10| 23 |       |SMR     MR|mmolP//s        |DOP forcing tendency
   323 |AB_gTr10| 23 |       |SMR     MR|mmolP//s        |DOP tendency from Adams-Bashforth
   324 |Tp_gTr10| 23 |       |SMR     MR|mmolP//s        |DOP total transport tendency (before gchem_forcing_sep)
   325 |ADVrTr10| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical   Advective Flux of DOP
   326 |ADVxTr10| 23 |   327 |UU      MR|mmolP/.m^3/s    |Zonal      Advective Flux of DOP
   327 |ADVyTr10| 23 |   326 |VV      MR|mmolP/.m^3/s    |Meridional Advective Flux of DOP
   328 |DFrETr10| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of DOP (Explicit part)
   329 |DFxETr10| 23 |   330 |UU      MR|mmolP/.m^3/s    |Zonal      Diffusive Flux of DOP
   330 |DFyETr10| 23 |   329 |VV      MR|mmolP/.m^3/s    |Meridional Diffusive Flux of DOP
   331 |DFrITr10| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of DOP (Implicit part)
   332 |KPPgTr10| 23 |       |WM      LR|mmolP/.m^3/s    |KPP non-local Flux of DOP
   333 |TRAC11  | 23 |       |SMR     MR|mmol Fe         |DOFe concentration
   334 |UTRAC11 | 23 |   335 |UUr     MR|mmolFe.m/s      |Zonal Mass-Weighted Transp of DOFe
   335 |VTRAC11 | 23 |   334 |VVr     MR|mmolFe.m/s      |Merid Mass-Weighted Transp of DOFe
   336 |WTRAC11 | 23 |       |WM      MR|mmolFe.m/s      |Vert  Mass-Weighted Transp of DOFe
   337 |ForcTr11| 23 |       |SMR     MR|mmolFe/s        |DOFe forcing tendency
   338 |AB_gTr11| 23 |       |SMR     MR|mmolFe/s        |DOFe tendency from Adams-Bashforth
   339 |Tp_gTr11| 23 |       |SMR     MR|mmolFe/s        |DOFe total transport tendency (before gchem_forcing_sep)
   340 |ADVrTr11| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical   Advective Flux of DOFe
   341 |ADVxTr11| 23 |   342 |UU      MR|mmolFe.m^3/s    |Zonal      Advective Flux of DOFe
   342 |ADVyTr11| 23 |   341 |VV      MR|mmolFe.m^3/s    |Meridional Advective Flux of DOFe
   343 |DFrETr11| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of DOFe (Explicit part)
   344 |DFxETr11| 23 |   345 |UU      MR|mmolFe.m^3/s    |Zonal      Diffusive Flux of DOFe
   345 |DFyETr11| 23 |   344 |VV      MR|mmolFe.m^3/s    |Meridional Diffusive Flux of DOFe
   346 |DFrITr11| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of DOFe (Implicit part)
   347 |KPPgTr11| 23 |       |WM      LR|mmolFe.m^3/s    |KPP non-local Flux of DOFe
   348 |TRAC12  | 23 |       |SMR     MR|mmol C/         |POC concentration
   349 |UTRAC12 | 23 |   350 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of POC
   350 |VTRAC12 | 23 |   349 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of POC
   351 |WTRAC12 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of POC
   352 |ForcTr12| 23 |       |SMR     MR|mmolC//s        |POC forcing tendency
   353 |AB_gTr12| 23 |       |SMR     MR|mmolC//s        |POC tendency from Adams-Bashforth
   354 |Tp_gTr12| 23 |       |SMR     MR|mmolC//s        |POC total transport tendency (before gchem_forcing_sep)
   355 |ADVrTr12| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of POC
   356 |ADVxTr12| 23 |   357 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of POC
   357 |ADVyTr12| 23 |   356 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of POC
   358 |DFrETr12| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of POC (Explicit part)
   359 |DFxETr12| 23 |   360 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of POC
   360 |DFyETr12| 23 |   359 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of POC
   361 |DFrITr12| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of POC (Implicit part)
   362 |KPPgTr12| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of POC
   363 |TRAC13  | 23 |       |SMR     MR|mmol N/         |PON concentration
   364 |UTRAC13 | 23 |   365 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of PON
   365 |VTRAC13 | 23 |   364 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of PON
   366 |WTRAC13 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of PON
   367 |ForcTr13| 23 |       |SMR     MR|mmolN//s        |PON forcing tendency
   368 |AB_gTr13| 23 |       |SMR     MR|mmolN//s        |PON tendency from Adams-Bashforth
   369 |Tp_gTr13| 23 |       |SMR     MR|mmolN//s        |PON total transport tendency (before gchem_forcing_sep)
   370 |ADVrTr13| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of PON
   371 |ADVxTr13| 23 |   372 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of PON
   372 |ADVyTr13| 23 |   371 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of PON
   373 |DFrETr13| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of PON (Explicit part)
   374 |DFxETr13| 23 |   375 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of PON
   375 |DFyETr13| 23 |   374 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of PON
   376 |DFrITr13| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of PON (Implicit part)
   377 |KPPgTr13| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of PON
   378 |TRAC14  | 23 |       |SMR     MR|mmol P/         |POP concentration
   379 |UTRAC14 | 23 |   380 |UUr     MR|mmolP/.m/s      |Zonal Mass-Weighted Transp of POP
   380 |VTRAC14 | 23 |   379 |VVr     MR|mmolP/.m/s      |Merid Mass-Weighted Transp of POP
   381 |WTRAC14 | 23 |       |WM      MR|mmolP/.m/s      |Vert  Mass-Weighted Transp of POP
   382 |ForcTr14| 23 |       |SMR     MR|mmolP//s        |POP forcing tendency
   383 |AB_gTr14| 23 |       |SMR     MR|mmolP//s        |POP tendency from Adams-Bashforth
   384 |Tp_gTr14| 23 |       |SMR     MR|mmolP//s        |POP total transport tendency (before gchem_forcing_sep)
   385 |ADVrTr14| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical   Advective Flux of POP
   386 |ADVxTr14| 23 |   387 |UU      MR|mmolP/.m^3/s    |Zonal      Advective Flux of POP
   387 |ADVyTr14| 23 |   386 |VV      MR|mmolP/.m^3/s    |Meridional Advective Flux of POP
   388 |DFrETr14| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of POP (Explicit part)
   389 |DFxETr14| 23 |   390 |UU      MR|mmolP/.m^3/s    |Zonal      Diffusive Flux of POP
   390 |DFyETr14| 23 |   389 |VV      MR|mmolP/.m^3/s    |Meridional Diffusive Flux of POP
   391 |DFrITr14| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of POP (Implicit part)
   392 |KPPgTr14| 23 |       |WM      LR|mmolP/.m^3/s    |KPP non-local Flux of POP
   393 |TRAC15  | 23 |       |SMR     MR|mmol Fe         |POFe concentration
   394 |UTRAC15 | 23 |   395 |UUr     MR|mmolFe.m/s      |Zonal Mass-Weighted Transp of POFe
   395 |VTRAC15 | 23 |   394 |VVr     MR|mmolFe.m/s      |Merid Mass-Weighted Transp of POFe
   396 |WTRAC15 | 23 |       |WM      MR|mmolFe.m/s      |Vert  Mass-Weighted Transp of POFe
   397 |ForcTr15| 23 |       |SMR     MR|mmolFe/s        |POFe forcing tendency
   398 |AB_gTr15| 23 |       |SMR     MR|mmolFe/s        |POFe tendency from Adams-Bashforth
   399 |Tp_gTr15| 23 |       |SMR     MR|mmolFe/s        |POFe total transport tendency (before gchem_forcing_sep)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |ADVrTr15| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical   Advective Flux of POFe
   401 |ADVxTr15| 23 |   402 |UU      MR|mmolFe.m^3/s    |Zonal      Advective Flux of POFe
   402 |ADVyTr15| 23 |   401 |VV      MR|mmolFe.m^3/s    |Meridional Advective Flux of POFe
   403 |DFrETr15| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of POFe (Explicit part)
   404 |DFxETr15| 23 |   405 |UU      MR|mmolFe.m^3/s    |Zonal      Diffusive Flux of POFe
   405 |DFyETr15| 23 |   404 |VV      MR|mmolFe.m^3/s    |Meridional Diffusive Flux of POFe
   406 |DFrITr15| 23 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of POFe (Implicit part)
   407 |KPPgTr15| 23 |       |WM      LR|mmolFe.m^3/s    |KPP non-local Flux of POFe
   408 |TRAC16  | 23 |       |SMR     MR|mmol Si         |POSi concentration
   409 |UTRAC16 | 23 |   410 |UUr     MR|mmolSi.m/s      |Zonal Mass-Weighted Transp of POSi
   410 |VTRAC16 | 23 |   409 |VVr     MR|mmolSi.m/s      |Merid Mass-Weighted Transp of POSi
   411 |WTRAC16 | 23 |       |WM      MR|mmolSi.m/s      |Vert  Mass-Weighted Transp of POSi
   412 |ForcTr16| 23 |       |SMR     MR|mmolSi/s        |POSi forcing tendency
   413 |AB_gTr16| 23 |       |SMR     MR|mmolSi/s        |POSi tendency from Adams-Bashforth
   414 |Tp_gTr16| 23 |       |SMR     MR|mmolSi/s        |POSi total transport tendency (before gchem_forcing_sep)
   415 |ADVrTr16| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical   Advective Flux of POSi
   416 |ADVxTr16| 23 |   417 |UU      MR|mmolSi.m^3/s    |Zonal      Advective Flux of POSi
   417 |ADVyTr16| 23 |   416 |VV      MR|mmolSi.m^3/s    |Meridional Advective Flux of POSi
   418 |DFrETr16| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical Diffusive Flux of POSi (Explicit part)
   419 |DFxETr16| 23 |   420 |UU      MR|mmolSi.m^3/s    |Zonal      Diffusive Flux of POSi
   420 |DFyETr16| 23 |   419 |VV      MR|mmolSi.m^3/s    |Meridional Diffusive Flux of POSi
   421 |DFrITr16| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical Diffusive Flux of POSi (Implicit part)
   422 |KPPgTr16| 23 |       |WM      LR|mmolSi.m^3/s    |KPP non-local Flux of POSi
   423 |TRAC17  | 23 |       |SMR     MR|mmol C/         |PIC concentration
   424 |UTRAC17 | 23 |   425 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of PIC
   425 |VTRAC17 | 23 |   424 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of PIC
   426 |WTRAC17 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of PIC
   427 |ForcTr17| 23 |       |SMR     MR|mmolC//s        |PIC forcing tendency
   428 |AB_gTr17| 23 |       |SMR     MR|mmolC//s        |PIC tendency from Adams-Bashforth
   429 |Tp_gTr17| 23 |       |SMR     MR|mmolC//s        |PIC total transport tendency (before gchem_forcing_sep)
   430 |ADVrTr17| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of PIC
   431 |ADVxTr17| 23 |   432 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of PIC
   432 |ADVyTr17| 23 |   431 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of PIC
   433 |DFrETr17| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of PIC (Explicit part)
   434 |DFxETr17| 23 |   435 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of PIC
   435 |DFyETr17| 23 |   434 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of PIC
   436 |DFrITr17| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of PIC (Implicit part)
   437 |KPPgTr17| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of PIC
   438 |TRAC18  | 23 |       |SMR     MR|mmol eq         |ALK concentration
   439 |UTRAC18 | 23 |   440 |UUr     MR|mmoleq.m/s      |Zonal Mass-Weighted Transp of ALK
   440 |VTRAC18 | 23 |   439 |VVr     MR|mmoleq.m/s      |Merid Mass-Weighted Transp of ALK
   441 |WTRAC18 | 23 |       |WM      MR|mmoleq.m/s      |Vert  Mass-Weighted Transp of ALK
   442 |ForcTr18| 23 |       |SMR     MR|mmoleq/s        |ALK forcing tendency
   443 |AB_gTr18| 23 |       |SMR     MR|mmoleq/s        |ALK tendency from Adams-Bashforth
   444 |Tp_gTr18| 23 |       |SMR     MR|mmoleq/s        |ALK total transport tendency (before gchem_forcing_sep)
   445 |ADVrTr18| 23 |       |WM      LR|mmoleq.m^3/s    |Vertical   Advective Flux of ALK
   446 |ADVxTr18| 23 |   447 |UU      MR|mmoleq.m^3/s    |Zonal      Advective Flux of ALK
   447 |ADVyTr18| 23 |   446 |VV      MR|mmoleq.m^3/s    |Meridional Advective Flux of ALK
   448 |DFrETr18| 23 |       |WM      LR|mmoleq.m^3/s    |Vertical Diffusive Flux of ALK (Explicit part)
   449 |DFxETr18| 23 |   450 |UU      MR|mmoleq.m^3/s    |Zonal      Diffusive Flux of ALK
   450 |DFyETr18| 23 |   449 |VV      MR|mmoleq.m^3/s    |Meridional Diffusive Flux of ALK
   451 |DFrITr18| 23 |       |WM      LR|mmoleq.m^3/s    |Vertical Diffusive Flux of ALK (Implicit part)
   452 |KPPgTr18| 23 |       |WM      LR|mmoleq.m^3/s    |KPP non-local Flux of ALK
   453 |TRAC19  | 23 |       |SMR     MR|mmol O/         |O2 concentration
   454 |UTRAC19 | 23 |   455 |UUr     MR|mmolO/.m/s      |Zonal Mass-Weighted Transp of O2
   455 |VTRAC19 | 23 |   454 |VVr     MR|mmolO/.m/s      |Merid Mass-Weighted Transp of O2
   456 |WTRAC19 | 23 |       |WM      MR|mmolO/.m/s      |Vert  Mass-Weighted Transp of O2
   457 |ForcTr19| 23 |       |SMR     MR|mmolO//s        |O2 forcing tendency
   458 |AB_gTr19| 23 |       |SMR     MR|mmolO//s        |O2 tendency from Adams-Bashforth
   459 |Tp_gTr19| 23 |       |SMR     MR|mmolO//s        |O2 total transport tendency (before gchem_forcing_sep)
   460 |ADVrTr19| 23 |       |WM      LR|mmolO/.m^3/s    |Vertical   Advective Flux of O2
   461 |ADVxTr19| 23 |   462 |UU      MR|mmolO/.m^3/s    |Zonal      Advective Flux of O2
   462 |ADVyTr19| 23 |   461 |VV      MR|mmolO/.m^3/s    |Meridional Advective Flux of O2
   463 |DFrETr19| 23 |       |WM      LR|mmolO/.m^3/s    |Vertical Diffusive Flux of O2 (Explicit part)
   464 |DFxETr19| 23 |   465 |UU      MR|mmolO/.m^3/s    |Zonal      Diffusive Flux of O2
   465 |DFyETr19| 23 |   464 |VV      MR|mmolO/.m^3/s    |Meridional Diffusive Flux of O2
   466 |DFrITr19| 23 |       |WM      LR|mmolO/.m^3/s    |Vertical Diffusive Flux of O2 (Implicit part)
   467 |KPPgTr19| 23 |       |WM      LR|mmolO/.m^3/s    |KPP non-local Flux of O2
   468 |TRAC20  | 23 |       |SMR     MR|mmol C/         |c01 concentration
   469 |UTRAC20 | 23 |   470 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of c01
   470 |VTRAC20 | 23 |   469 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of c01
   471 |WTRAC20 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of c01
   472 |ForcTr20| 23 |       |SMR     MR|mmolC//s        |c01 forcing tendency
   473 |AB_gTr20| 23 |       |SMR     MR|mmolC//s        |c01 tendency from Adams-Bashforth
   474 |Tp_gTr20| 23 |       |SMR     MR|mmolC//s        |c01 total transport tendency (before gchem_forcing_sep)
   475 |ADVrTr20| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of c01
   476 |ADVxTr20| 23 |   477 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of c01
   477 |ADVyTr20| 23 |   476 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of c01
   478 |DFrETr20| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c01 (Explicit part)
   479 |DFxETr20| 23 |   480 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of c01
   480 |DFyETr20| 23 |   479 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of c01
   481 |DFrITr20| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c01 (Implicit part)
   482 |KPPgTr20| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of c01
   483 |TRAC21  | 23 |       |SMR     MR|logx mm         |xm01 concentration
   484 |UTRAC21 | 23 |   485 |UUr     MR|logxmm.m/s      |Zonal Mass-Weighted Transp of xm01
   485 |VTRAC21 | 23 |   484 |VVr     MR|logxmm.m/s      |Merid Mass-Weighted Transp of xm01
   486 |WTRAC21 | 23 |       |WM      MR|logxmm.m/s      |Vert  Mass-Weighted Transp of xm01
   487 |ForcTr21| 23 |       |SMR     MR|logxmm/s        |xm01 forcing tendency
   488 |AB_gTr21| 23 |       |SMR     MR|logxmm/s        |xm01 tendency from Adams-Bashforth
   489 |Tp_gTr21| 23 |       |SMR     MR|logxmm/s        |xm01 total transport tendency (before gchem_forcing_sep)
   490 |ADVrTr21| 23 |       |WM      LR|logxmm.m^3/s    |Vertical   Advective Flux of xm01
   491 |ADVxTr21| 23 |   492 |UU      MR|logxmm.m^3/s    |Zonal      Advective Flux of xm01
   492 |ADVyTr21| 23 |   491 |VV      MR|logxmm.m^3/s    |Meridional Advective Flux of xm01
   493 |DFrETr21| 23 |       |WM      LR|logxmm.m^3/s    |Vertical Diffusive Flux of xm01 (Explicit part)
   494 |DFxETr21| 23 |   495 |UU      MR|logxmm.m^3/s    |Zonal      Diffusive Flux of xm01
   495 |DFyETr21| 23 |   494 |VV      MR|logxmm.m^3/s    |Meridional Diffusive Flux of xm01
   496 |DFrITr21| 23 |       |WM      LR|logxmm.m^3/s    |Vertical Diffusive Flux of xm01 (Implicit part)
   497 |KPPgTr21| 23 |       |WM      LR|logxmm.m^3/s    |KPP non-local Flux of xm01
   498 |TRAC22  | 23 |       |SMR     MR|degC mm         |ym01 concentration
   499 |UTRAC22 | 23 |   500 |UUr     MR|degCmm.m/s      |Zonal Mass-Weighted Transp of ym01
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   500 |VTRAC22 | 23 |   499 |VVr     MR|degCmm.m/s      |Merid Mass-Weighted Transp of ym01
   501 |WTRAC22 | 23 |       |WM      MR|degCmm.m/s      |Vert  Mass-Weighted Transp of ym01
   502 |ForcTr22| 23 |       |SMR     MR|degCmm/s        |ym01 forcing tendency
   503 |AB_gTr22| 23 |       |SMR     MR|degCmm/s        |ym01 tendency from Adams-Bashforth
   504 |Tp_gTr22| 23 |       |SMR     MR|degCmm/s        |ym01 total transport tendency (before gchem_forcing_sep)
   505 |ADVrTr22| 23 |       |WM      LR|degCmm.m^3/s    |Vertical   Advective Flux of ym01
   506 |ADVxTr22| 23 |   507 |UU      MR|degCmm.m^3/s    |Zonal      Advective Flux of ym01
   507 |ADVyTr22| 23 |   506 |VV      MR|degCmm.m^3/s    |Meridional Advective Flux of ym01
   508 |DFrETr22| 23 |       |WM      LR|degCmm.m^3/s    |Vertical Diffusive Flux of ym01 (Explicit part)
   509 |DFxETr22| 23 |   510 |UU      MR|degCmm.m^3/s    |Zonal      Diffusive Flux of ym01
   510 |DFyETr22| 23 |   509 |VV      MR|degCmm.m^3/s    |Meridional Diffusive Flux of ym01
   511 |DFrITr22| 23 |       |WM      LR|degCmm.m^3/s    |Vertical Diffusive Flux of ym01 (Implicit part)
   512 |KPPgTr22| 23 |       |WM      LR|degCmm.m^3/s    |KPP non-local Flux of ym01
   513 |TRAC23  | 23 |       |SMR     MR|logz mm         |zm01 concentration
   514 |UTRAC23 | 23 |   515 |UUr     MR|logzmm.m/s      |Zonal Mass-Weighted Transp of zm01
   515 |VTRAC23 | 23 |   514 |VVr     MR|logzmm.m/s      |Merid Mass-Weighted Transp of zm01
   516 |WTRAC23 | 23 |       |WM      MR|logzmm.m/s      |Vert  Mass-Weighted Transp of zm01
   517 |ForcTr23| 23 |       |SMR     MR|logzmm/s        |zm01 forcing tendency
   518 |AB_gTr23| 23 |       |SMR     MR|logzmm/s        |zm01 tendency from Adams-Bashforth
